trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A55-A2645-3-15-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-14-21-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251435049760591,TM85,0,0
TM25-TM85-7-21-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25735049760591,TM85,0,0
A55-A2645-3-21-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-8-15-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25835049760591,TM85,0,0
A55-A2645-2-7-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-6-35-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25635049760591,TM85,0,0
TM25-TM85-12-19-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251235049760591,TM85,0,0
TM25-TM85-7-15-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25735049760591,TM85,0,0
A55-A197-4-22-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM85-4-7-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25435049760591,TM85,0,0
A55-A197-2-8-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM674-12-35-35049760591,TM25,35049760591,Кв. Овча купел,,,TM251235049760591,TM674,0,0
A55-A197-1-10-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A2645-2-15-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-8-39-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25835049760591,TM85,0,0
A55-A2645-2-17-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-9-9-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25935049760591,TM85,0,0
TM25-TM85-13-33-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251335049760591,TM85,0,0
TM25-TM85-9-25-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25935049760591,TM85,0,0
A55-A2645-1-15-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-6-9-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25635049760591,TM85,0,0
A55-A197-3-16-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM85-8-37-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25835049760591,TM85,0,0
A55-A197-1-4-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A2645-1-17-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM86-11-28-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251135049760591,TM86,0,0
TM25-TM86-14-16-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251435049760591,TM86,0,0
TM25-TM86-9-30-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25935049760591,TM86,0,0
A55-A197-4-6-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM86-10-28-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251035049760591,TM86,0,0
A55-A197-2-10-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM1741-14-2-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251435049760591,TM1741,0,0
TM25-TM86-3-6-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25335049760591,TM86,0,0
A55-A197-4-24-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-2-18-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-2-14-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-2-6-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-4-14-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A2645-3-17-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-12-7-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251235049760591,TM85,0,0
TM25-TM85-11-11-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251135049760591,TM85,0,0
